solv_i_id,molefrac_i,ln_gamma_i
solvent_493 / solvent_276,1 / 0,0 / 0.64
solvent_493 / solvent_510,1 / 0,0 / 0.25
solvent_478 / solvent_535,1 / 0,0 / 3.76
solvent_478 / solvent_262,1 / 0,0 / 1.82
solvent_494 / solvent_337,1 / 0,0 / 1.72
solvent_610 / solvent_705,1 / 0,0 / 0.63
solvent_610 / solvent_535,1 / 0,0 / 0.79
solvent_610 / solvent_337,1 / 0,0 / 0.69
solvent_610 / ref_34,1 / 0,0 / 0.78
solvent_610 / solvent_527,1 / 0,0 / 0.88
solvent_610 / ref_103,1 / 0,0 / 0.87
solvent_610 / solvent_677,1 / 0,0 / 1
solvent_610 / ref_70,1 / 0,0 / 0.89
solvent_610 / ref_144,1 / 0,0 / 0.95
solvent_610 / ref_48,1 / 0,0 / 0.88
solvent_610 / solvent_666,1 / 0,0 / 1.13
ref_7 / solvent_677,1 / 0,0 / 0.29
solvent_498 / solvent_535,1 / 0,0 / 1.63
solvent_498 / solvent_337,1 / 0,0 / 1.37
solvent_498 / solvent_527,1 / 0,0 / 1.79
solvent_498 / solvent_677,1 / 0,0 / 1.91
solvent_498 / solvent_666,1 / 0,0 / 2.17
solvent_498 / solvent_262,1 / 0,0 / 0.47
solvent_498 / ref_125,1 / 0,0 / 0.9
solvent_498 / ref_54,1 / 0,0 / 0.96
solvent_498 / solvent_687,1 / 0,0 / 0.98
solvent_498 / solvent_454,1 / 0,0 / 0.99
solvent_498 / ref_122,1 / 0,0 / 0.8
solvent_498 / ref_147,1 / 0,0 / 1.1
solvent_498 / solvent_167,1 / 0,0 / 0.17
solvent_498 / solvent_647,1 / 0,0 / 0.99
solvent_498 / solvent_296,1 / 0,0 / 0.01
solvent_498 / solvent_54,1 / 0,0 / 0.23
solvent_498 / solvent_595,1 / 0,0 / 0.39
solvent_498 / solvent_627,1 / 0,0 / -0.46
solvent_498 / ref_36,1 / 0,0 / 0.42
solvent_498 / solvent_317,1 / 0,0 / 0.48
solvent_498 / solvent_276,1 / 0,0 / 0.57
solvent_498 / solvent_225,1 / 0,0 / 0.71
solvent_498 / solvent_510,1 / 0,0 / 0.29
ref_67 / solvent_535,1 / 0,0 / 4.25
ref_67 / solvent_337,1 / 0,0 / 3.55
ref_67 / ref_38,1 / 0,0 / 3.64
ref_67 / solvent_527,1 / 0,0 / 4.51
ref_67 / solvent_840,1 / 0,0 / 3.89
ref_67 / solvent_95,1 / 0,0 / 4.61
ref_67 / solvent_262,1 / 0,0 / 1.82
ref_67 / solvent_782,1 / 0,0 / 2.19
solvent_499 / solvent_535,1 / 0,0 / 2.77
solvent_499 / solvent_262,1 / 0,0 / 1.19
solvent_499 / solvent_337,1 / 0,0 / 2.33
solvent_159 / solvent_535,1 / 0,0 / 2.08
solvent_159 / solvent_527,1 / 0,0 / 1.77
solvent_159 / solvent_262,1 / 0,0 / 1.65
solvent_160 / solvent_337,1 / 0,0 / 1.34
solvent_760 / solvent_705,1 / 0,0 / 1.25
solvent_760 / solvent_535,1 / 0,0 / 1.37
solvent_760 / solvent_337,1 / 0,0 / 1.31
solvent_760 / ref_34,1 / 0,0 / 1.38
solvent_760 / solvent_527,1 / 0,0 / 1.56
solvent_760 / solvent_677,1 / 0,0 / 1.74
solvent_760 / ref_70,1 / 0,0 / 1.57
solvent_760 / ref_48,1 / 0,0 / 1.64
solvent_760 / solvent_666,1 / 0,0 / 1.96
solvent_760 / solvent_262,1 / 0,0 / 1.56
solvent_760 / solvent_782,1 / 0,0 / 1.4
solvent_760 / solvent_161,1 / 0,0 / 0.44
solvent_760 / solvent_446,1 / 0,0 / -0.42
solvent_760 / solvent_54,1 / 0,0 / 0.49
solvent_760 / solvent_595,1 / 0,0 / 0.51
solvent_760 / solvent_795,1 / 0,0 / 0.58
ref_83 / solvent_535,1 / 0,0 / 3.66
ref_83 / solvent_337,1 / 0,0 / 3.12
ref_83 / solvent_262,1 / 0,0 / 0.95
ref_83 / solvent_161,1 / 0,0 / 2.42
ref_83 / solvent_560,1 / 0,0 / 1.76
ref_154 / solvent_705,1 / 0,0 / 3.27
ref_154 / solvent_558,1 / 0,0 / 3.29
ref_154 / solvent_535,1 / 0,0 / 3.64
ref_154 / solvent_337,1 / 0,0 / 3
ref_154 / solvent_262,1 / 0,0 / 0.78
ref_154 / solvent_161,1 / 0,0 / 2.3
ref_154 / solvent_560,1 / 0,0 / 1.58
solvent_619 / solvent_535,1 / 0,0 / 2.89
solvent_619 / solvent_262,1 / 0,0 / 0.41
solvent_162 / solvent_705,1 / 0,0 / 1.84
solvent_162 / solvent_535,1 / 0,0 / 1.98
solvent_162 / solvent_337,1 / 0,0 / 1.68
solvent_162 / solvent_527,1 / 0,0 / 2.14
solvent_162 / solvent_840,1 / 0,0 / 1.89
solvent_162 / solvent_90,1 / 0,0 / 1.28
solvent_162 / solvent_194,1 / 0,0 / 1.21
solvent_162 / solvent_560,1 / 0,0 / 0.73
solvent_162 / solvent_580,1 / 0,0 / 2.09
solvent_162 / solvent_446,1 / 0,0 / 2.09
solvent_162 / solvent_726,1 / 0,0 / 0.49
solvent_162 / solvent_627,1 / 0,0 / -0.09
solvent_162 / solvent_319,1 / 0,0 / -0.13
solvent_162 / solvent_306,1 / 0,0 / 0.86
solvent_162 / solvent_455,1 / 0,0 / 0.42
solvent_162 / solvent_466,1 / 0,0 / 0.78
solvent_162 / solvent_304,1 / 0,0 / 1.37
solvent_612 / solvent_705,1 / 0,0 / 0.95
solvent_612 / solvent_535,1 / 0,0 / 1.1
solvent_612 / solvent_337,1 / 0,0 / 1.03
solvent_612 / ref_34,1 / 0,0 / 1.08
solvent_612 / solvent_527,1 / 0,0 / 1.2
solvent_612 / ref_103,1 / 0,0 / 1.17
