solv_i_id,molefrac_i,ln_gamma_i
solvent_664 / solvent_666,1 / 0,0 / 5.21
solvent_664 / solvent_782,1 / 0,0 / 1.64
solvent_664 / solvent_560,1 / 0,0 / 1.87
solvent_664 / solvent_80,1 / 0,0 / 3.35
solvent_664 / solvent_446,1 / 0,0 / 2.11
solvent_664 / solvent_595,1 / 0,0 / 0.2
solvent_664 / solvent_726,1 / 0,0 / 1.47
solvent_664 / ref_74,1 / 0,0 / 1.68
solvent_664 / solvent_627,1 / 0,0 / 0.51
solvent_664 / solvent_319,1 / 0,0 / 0.77
solvent_664 / solvent_306,1 / 0,0 / 2.14
solvent_664 / solvent_455,1 / 0,0 / 1.25
solvent_664 / solvent_466,1 / 0,0 / 1.79
solvent_664 / solvent_795,1 / 0,0 / 2.51
solvent_664 / solvent_304,1 / 0,0 / 2.67
solvent_580 / solvent_705,1 / 0,0 / 3.12
solvent_580 / solvent_535,1 / 0,0 / 3.29
solvent_580 / solvent_527,1 / 0,0 / 3.63
solvent_580 / solvent_677,1 / 0,0 / 3.85
solvent_580 / solvent_262,1 / 0,0 / 1.99
solvent_580 / solvent_337,1 / 0,0 / 3.09
solvent_580 / ref_34,1 / 0,0 / 3.15
solvent_580 / ref_103,1 / 0,0 / 3.37
solvent_580 / ref_70,1 / 0,0 / 3.6
solvent_580 / ref_144,1 / 0,0 / 3.68
solvent_580 / ref_48,1 / 0,0 / 3.65
solvent_580 / solvent_666,1 / 0,0 / 4.16
solvent_580 / ref_32,1 / 0,0 / 3.59
solvent_580 / solvent_782,1 / 0,0 / 2.29
solvent_580 / ref_125,1 / 0,0 / 2.86
solvent_580 / ref_54,1 / 0,0 / 2.8
solvent_580 / solvent_687,1 / 0,0 / 2.83
solvent_580 / solvent_454,1 / 0,0 / 2.51
ref_10 / solvent_705,1 / 0,0 / 3.13
ref_10 / solvent_535,1 / 0,0 / 3.61
ref_10 / solvent_337,1 / 0,0 / 3.15
ref_10 / ref_34,1 / 0,0 / 3.54
ref_10 / solvent_527,1 / 0,0 / 4.02
ref_10 / ref_103,1 / 0,0 / 3.88
ref_10 / solvent_677,1 / 0,0 / 4.4
ref_10 / ref_70,1 / 0,0 / 4.04
ref_10 / ref_144,1 / 0,0 / 4.25
ref_10 / ref_48,1 / 0,0 / 3.82
ref_10 / solvent_666,1 / 0,0 / 4.75
ref_69 / solvent_337,1 / 0,0 / 0.05
solvent_841 / solvent_535,1 / 0,0 / 2.66
solvent_841 / solvent_262,1 / 0,0 / 0.02
solvent_841 / solvent_705,1 / 0,0 / 2.26
solvent_841 / solvent_337,1 / 0,0 / 2.18
solvent_841 / ref_34,1 / 0,0 / 2.54
solvent_841 / solvent_527,1 / 0,0 / 2.94
solvent_841 / ref_103,1 / 0,0 / 2.78
solvent_841 / ref_28,1 / 0,0 / 2.35
solvent_841 / solvent_677,1 / 0,0 / 3.15
solvent_841 / ref_114,1 / 0,0 / 2.38
solvent_841 / ref_70,1 / 0,0 / 2.81
solvent_841 / ref_144,1 / 0,0 / 3.01
solvent_841 / ref_48,1 / 0,0 / 2.56
solvent_841 / solvent_666,1 / 0,0 / 3.28
solvent_841 / solvent_81,1 / 0,0 / 2.07
solvent_841 / solvent_80,1 / 0,0 / 2.25
solvent_841 / solvent_88,1 / 0,0 / 2.39
solvent_841 / ref_37,1 / 0,0 / 0.35
solvent_841 / ref_122,1 / 0,0 / 0.51
solvent_841 / ref_147,1 / 0,0 / 0.8
solvent_841 / solvent_161,1 / 0,0 / 1.68
solvent_841 / solvent_560,1 / 0,0 / 0.87
solvent_666 / solvent_705,1 / 0,0 / -0.05
solvent_666 / solvent_535,1 / 0,0 / 0.01
solvent_666 / solvent_337,1 / 0,0 / -0.02
solvent_666 / ref_34,1 / 0,0 / 0.01
solvent_666 / solvent_527,1 / 0,0 / 0.03
solvent_666 / ref_103,1 / 0,0 / 0.04
solvent_666 / solvent_677,1 / 0,0 / 0.09
solvent_666 / ref_70,1 / 0,0 / 0.03
solvent_666 / ref_144,1 / 0,0 / 0.06
solvent_666 / ref_48,1 / 0,0 / 0.03
solvent_666 / ref_32,1 / 0,0 / 0.06
ref_97 / solvent_454,1 / 0,0 / 0.04
ref_97 / ref_102,1 / 0,0 / 0.07
ref_97 / solvent_296,1 / 0,0 / 0.1
ref_97 / solvent_627,1 / 0,0 / 0.33
ref_97 / solvent_317,1 / 0,0 / 0.16
ref_97 / solvent_276,1 / 0,0 / 0.29
solvent_677 / solvent_705,1 / 0,0 / -0.02
solvent_677 / solvent_535,1 / 0,0 / 0.02
solvent_677 / solvent_337,1 / 0,0 / 0.04
solvent_677 / ref_34,1 / 0,0 / 0.03
solvent_677 / solvent_527,1 / 0,0 / 0.05
solvent_677 / ref_103,1 / 0,0 / 0.07
solvent_677 / ref_70,1 / 0,0 / 0.06
solvent_677 / ref_144,1 / 0,0 / 0.08
solvent_677 / ref_48,1 / 0,0 / 0.01
solvent_677 / solvent_666,1 / 0,0 / 0.09
solvent_677 / solvent_262,1 / 0,0 / 0.51
solvent_677 / solvent_90,1 / 0,0 / -0.04
solvent_677 / solvent_194,1 / 0,0 / -0.06
solvent_677 / solvent_560,1 / 0,0 / -0.01
solvent_677 / ref_7,1 / 0,0 / 0.51
solvent_677 / ref_13,1 / 0,0 / 0.72
solvent_677 / solvent_580,1 / 0,0 / 4.3
solvent_677 / solvent_446,1 / 0,0 / 3.86
solvent_677 / solvent_62,1 / 0,0 / 3.39
solvent_677 / solvent_127,1 / 0,0 / 3.14
solvent_677 / solvent_159,1 / 0,0 / 3.68
solvent_677 / solvent_760,1 / 0,0 / 2.88
solvent_677 / solvent_449,1 / 0,0 / 1.16
solvent_677 / solvent_296,1 / 0,0 / 0.4
solvent_677 / solvent_222,1 / 0,0 / 1.93
solvent_677 / solvent_595,1 / 0,0 / 1.4
solvent_677 / solvent_726,1 / 0,0 / 0.38
solvent_677 / solvent_627,1 / 0,0 / 0.75
solvent_677 / solvent_319,1 / 0,0 / 0.35
solvent_677 / solvent_455,1 / 0,0 / 0.48
solvent_677 / solvent_723,1 / 0,0 / 2.99
solvent_677 / solvent_300,1 / 0,0 / 2.72
solvent_677 / solvent_664,1 / 0,0 / 3.61
solvent_677 / solvent_662,1 / 0,0 / 2.9
solvent_677 / solvent_466,1 / 0,0 / 0.58
solvent_677 / solvent_304,1 / 0,0 / 0.23
solvent_87 / solvent_705,1 / 0,0 / 0.83
solvent_87 / solvent_535,1 / 0,0 / 0.97
solvent_87 / solvent_527,1 / 0,0 / 1.09
solvent_87 / solvent_677,1 / 0,0 / 1.18
solvent_87 / solvent_337,1 / 0,0 / 0.79
solvent_87 / ref_34,1 / 0,0 / 0.96
solvent_87 / ref_103,1 / 0,0 / 1.08
solvent_87 / ref_70,1 / 0,0 / 1.08
solvent_87 / ref_144,1 / 0,0 / 1.22
solvent_87 / ref_48,1 / 0,0 / 0.98
solvent_87 / solvent_666,1 / 0,0 / 1.32
solvent_87 / ref_32,1 / 0,0 / 1.11
solvent_87 / solvent_262,1 / 0,0 / 0.73
solvent_87 / solvent_782,1 / 0,0 / 0.69
solvent_87 / ref_125,1 / 0,0 / 0.85
solvent_87 / solvent_687,1 / 0,0 / 0.87
solvent_87 / solvent_454,1 / 0,0 / 0.91
solvent_87 / ref_102,1 / 0,0 / 1.02
solvent_87 / solvent_560,1 / 0,0 / 0.63
solvent_87 / solvent_81,1 / 0,0 / 0.93
solvent_87 / solvent_88,1 / 0,0 / 1.1
solvent_87 / ref_66,1 / 0,0 / 1.18
ref_9 / solvent_705,1 / 0,0 / 0.64
ref_9 / solvent_535,1 / 0,0 / 0.79
ref_9 / solvent_337,1 / 0,0 / 0.64
ref_9 / ref_34,1 / 0,0 / 0.76
ref_9 / solvent_527,1 / 0,0 / 0.83
ref_9 / ref_103,1 / 0,0 / 0.87
ref_9 / solvent_677,1 / 0,0 / 0.99
ref_9 / ref_70,1 / 0,0 / 0.81
ref_9 / ref_48,1 / 0,0 / 0.79
ref_9 / solvent_666,1 / 0,0 / 1.13
ref_9 / ref_32,1 / 0,0 / 0.93
ref_9 / solvent_262,1 / 0,0 / -0.22
ref_9 / solvent_782,1 / 0,0 / -0.17
ref_9 / solvent_161,1 / 0,0 / 0.45
ref_9 / solvent_560,1 / 0,0 / 0.15
ref_9 / solvent_446,1 / 0,0 / 1.31
ref_9 / solvent_54,1 / 0,0 / -0.02
ref_9 / solvent_595,1 / 0,0 / -0.08
ref_23 / solvent_262,1 / 0,0 / 0.08
ref_124 / solvent_337,1 / 0,0 / 0.88
solvent_705 / solvent_535,1 / 0,0 / 0.08
solvent_705 / solvent_337,1 / 0,0 / 0.23
solvent_705 / ref_34,1 / 0,0 / -0.02
solvent_705 / solvent_527,1 / 0,0 / 0.11
solvent_705 / ref_103,1 / 0,0 / 0.09
solvent_705 / solvent_677,1 / 0,0 / 0.17
solvent_705 / ref_70,1 / 0,0 / 0.16
solvent_705 / ref_144,1 / 0,0 / 0.15
solvent_705 / ref_48,1 / 0,0 / 0.31
solvent_705 / solvent_666,1 / 0,0 / 0.27
solvent_705 / ref_32,1 / 0,0 / 0.08
solvent_705 / solvent_262,1 / 0,0 / 0.68
solvent_705 / solvent_782,1 / 0,0 / 0.62
solvent_705 / solvent_54,1 / 0,0 / 1.56
solvent_705 / solvent_595,1 / 0,0 / 1.7
solvent_705 / solvent_339,1 / 0,0 / 0.67
solvent_705 / solvent_300,1 / 0,0 / 2.09
solvent_89 / solvent_705,1 / 0,0 / 1.44
solvent_89 / solvent_535,1 / 0,0 / 1.43
solvent_89 / solvent_527,1 / 0,0 / 1.54
solvent_89 / ref_34,1 / 0,0 / 1.25
solvent_89 / ref_157,1 / 0,0 / 1.3
solvent_89 / ref_1,1 / 0,0 / 1.4
solvent_89 / ref_25,1 / 0,0 / 1.45
solvent_89 / solvent_677,1 / 0,0 / 1.8
solvent_89 / solvent_262,1 / 0,0 / 1.12
solvent_89 / solvent_782,1 / 0,0 / 1.1
solvent_92 / solvent_705,1 / 0,0 / 1.67
solvent_92 / solvent_535,1 / 0,0 / 1.96
solvent_92 / solvent_527,1 / 0,0 / 2.05
solvent_92 / solvent_677,1 / 0,0 / 2.23
solvent_92 / solvent_337,1 / 0,0 / 1.75
solvent_92 / ref_34,1 / 0,0 / 1.85
solvent_92 / ref_103,1 / 0,0 / 1.99
solvent_92 / ref_70,1 / 0,0 / 2.07
solvent_92 / ref_144,1 / 0,0 / 2.15
solvent_92 / ref_48,1 / 0,0 / 2.05
solvent_92 / solvent_666,1 / 0,0 / 2.44
solvent_92 / ref_32,1 / 0,0 / 2.11
solvent_92 / solvent_262,1 / 0,0 / 1.73
solvent_92 / solvent_782,1 / 0,0 / 1.32
solvent_92 / ref_125,1 / 0,0 / 2.06
solvent_92 / ref_54,1 / 0,0 / 1.62
solvent_92 / solvent_687,1 / 0,0 / 2.79
ref_47 / solvent_527,1 / 0,0 / -0.21
ref_146 / solvent_337,1 / 0,0 / -0.17
ref_146 / solvent_262,1 / 0,0 / 0.16
ref_87 / solvent_535,1 / 0,0 / 1
ref_87 / solvent_337,1 / 0,0 / 0.84
ref_87 / solvent_262,1 / 0,0 / -0.12
ref_87 / solvent_161,1 / 0,0 / 0.52
ref_87 / solvent_560,1 / 0,0 / 0.17
ref_80 / solvent_527,1 / 0,0 / 0.52
ref_91 / solvent_535,1 / 0,0 / 5.44
ref_91 / solvent_262,1 / 0,0 / 1.72
ref_127 / solvent_705,1 / 0,0 / 0.23
ref_127 / solvent_535,1 / 0,0 / 0.36
ref_127 / solvent_337,1 / 0,0 / 0.18
ref_127 / ref_34,1 / 0,0 / 0.37
ref_127 / solvent_527,1 / 0,0 / 0.39
ref_127 / ref_103,1 / 0,0 / 0.49
ref_127 / solvent_677,1 / 0,0 / 0.54
ref_127 / ref_70,1 / 0,0 / 0.38
ref_127 / ref_144,1 / 0,0 / 0.62
ref_127 / ref_48,1 / 0,0 / 0.33
ref_127 / solvent_666,1 / 0,0 / 0.66
ref_127 / ref_32,1 / 0,0 / 0.55
ref_127 / solvent_782,1 / 0,0 / -0.36
ref_127 / solvent_446,1 / 0,0 / 1.48
ref_127 / solvent_54,1 / 0,0 / 0.02
ref_127 / solvent_595,1 / 0,0 / -0.02
solvent_811 / solvent_535,1 / 0,0 / 1.55
solvent_811 / solvent_337,1 / 0,0 / 1.46
solvent_811 / solvent_262,1 / 0,0 / 0.07
solvent_811 / solvent_161,1 / 0,0 / 1.04
solvent_811 / solvent_560,1 / 0,0 / 0.62
ref_6 / solvent_527,1 / 0,0 / 0.79
solvent_707 / solvent_527,1 / 0,0 / 2.1
ref_138 / solvent_705,1 / 0,0 / 1.53
ref_138 / solvent_535,1 / 0,0 / 1.94
ref_138 / solvent_337,1 / 0,0 / 2.29
ref_138 / ref_34,1 / 0,0 / 1.84
ref_138 / solvent_527,1 / 0,0 / 2.44
ref_138 / ref_103,1 / 0,0 / 2.06
ref_138 / solvent_677,1 / 0,0 / 2.9
ref_138 / ref_70,1 / 0,0 / 2.43
ref_138 / ref_144,1 / 0,0 / 2.49
ref_138 / ref_48,1 / 0,0 / 2.95
ref_138 / solvent_666,1 / 0,0 / 3.31
ref_151 / solvent_705,1 / 0,0 / 1.49
ref_151 / solvent_535,1 / 0,0 / 1.94
ref_151 / solvent_337,1 / 0,0 / 2.2
ref_151 / ref_34,1 / 0,0 / 1.79
ref_151 / solvent_527,1 / 0,0 / 2.43
ref_151 / ref_103,1 / 0,0 / 2.01
ref_151 / solvent_677,1 / 0,0 / 2.83
ref_151 / ref_70,1 / 0,0 / 2.36
ref_151 / ref_144,1 / 0,0 / 2.45
ref_151 / ref_48,1 / 0,0 / 2.83
ref_151 / solvent_666,1 / 0,0 / 3.24
ref_84 / solvent_535,1 / 0,0 / 2.28
ref_84 / solvent_337,1 / 0,0 / 1.76
ref_84 / solvent_262,1 / 0,0 / 0.71
solvent_710 / solvent_535,1 / 0,0 / 2.77
solvent_710 / solvent_262,1 / 0,0 / 0.98
solvent_710 / solvent_705,1 / 0,0 / 2.54
solvent_710 / solvent_337,1 / 0,0 / 2.17
solvent_710 / solvent_527,1 / 0,0 / 2.93
solvent_710 / solvent_161,1 / 0,0 / 1.92
solvent_710 / solvent_560,1 / 0,0 / 1.53
ref_40 / solvent_705,1 / 0,0 / 2.04
ref_40 / solvent_558,1 / 0,0 / 2.07
ref_40 / solvent_535,1 / 0,0 / 2.15
ref_40 / solvent_337,1 / 0,0 / 1.66
ref_40 / solvent_262,1 / 0,0 / 0.25
ref_40 / solvent_161,1 / 0,0 / 1.41
ref_40 / solvent_560,1 / 0,0 / 0.9
ref_18 / solvent_337,1 / 0,0 / 0.66
ref_18 / solvent_527,1 / 0,0 / 0.9
solvent_723 / solvent_535,1 / 0,0 / 2.35
solvent_723 / solvent_262,1 / 0,0 / 0.5
solvent_723 / solvent_705,1 / 0,0 / 2.08
solvent_723 / solvent_337,1 / 0,0 / 2.01
solvent_723 / ref_34,1 / 0,0 / 2.34
solvent_723 / solvent_527,1 / 0,0 / 2.59
solvent_723 / ref_103,1 / 0,0 / 2.52
solvent_723 / solvent_677,1 / 0,0 / 2.82
solvent_723 / ref_70,1 / 0,0 / 2.67
solvent_723 / ref_144,1 / 0,0 / 2.72
solvent_723 / ref_48,1 / 0,0 / 2.64
solvent_723 / solvent_666,1 / 0,0 / 3.11
solvent_723 / solvent_90,1 / 0,0 / 1.5
solvent_723 / solvent_194,1 / 0,0 / 1.48
solvent_723 / solvent_560,1 / 0,0 / 0.93
solvent_723 / solvent_80,1 / 0,0 / 2.01
solvent_723 / solvent_449,1 / 0,0 / 0.82
solvent_723 / solvent_376,1 / 0,0 / 2.17
solvent_723 / solvent_222,1 / 0,0 / 0.39
solvent_723 / solvent_726,1 / 0,0 / 0.62
solvent_723 / ref_74,1 / 0,0 / 0.85
solvent_723 / solvent_627,1 / 0,0 / -0.2
solvent_723 / solvent_319,1 / 0,0 / -0.12
solvent_723 / solvent_306,1 / 0,0 / 1.12
solvent_723 / solvent_455,1 / 0,0 / 0.54
solvent_723 / solvent_466,1 / 0,0 / 0.97
solvent_723 / solvent_795,1 / 0,0 / 1.46
solvent_723 / solvent_304,1 / 0,0 / 1.68
ref_90 / solvent_535,1 / 0,0 / 1.52
ref_90 / solvent_337,1 / 0,0 / 1.23
ref_90 / solvent_262,1 / 0,0 / 0.07
ref_90 / ref_100,1 / 0,0 / 0.82
ref_90 / solvent_560,1 / 0,0 / 0.53
ref_90 / solvent_449,1 / 0,0 / 0.26
ref_90 / solvent_222,1 / 0,0 / 0.27
ref_90 / solvent_726,1 / 0,0 / 0.36
ref_90 / ref_74,1 / 0,0 / 0.71
ref_90 / solvent_481,1 / 0,0 / -0.19
ref_90 / solvent_319,1 / 0,0 / -0.62
ref_90 / solvent_306,1 / 0,0 / 0.43
ref_90 / solvent_455,1 / 0,0 / 0.09
ref_90 / solvent_225,1 / 0,0 / 0.59
ref_90 / solvent_601,1 / 0,0 / 0.19
ref_90 / solvent_466,1 / 0,0 / 0.3
solvent_669 / solvent_337,1 / 0,0 / 0.94
solvent_669 / solvent_527,1 / 0,0 / 1.08
solvent_669 / solvent_81,1 / 0,0 / 0.49
solvent_669 / solvent_535,1 / 0,0 / 0.92
solvent_669 / ref_37,1 / 0,0 / -0.05
solvent_669 / ref_7,1 / 0,0 / 0.09
solvent_669 / ref_13,1 / 0,0 / 0.21
ref_24 / solvent_535,1 / 0,0 / 2.77
ref_24 / solvent_262,1 / 0,0 / 0.34
solvent_725 / solvent_527,1 / 0,0 / 1.01
solvent_729 / solvent_535,1 / 0,0 / 3.83
solvent_729 / solvent_262,1 / 0,0 / 1.19
solvent_729 / solvent_705,1 / 0,0 / 3.25
solvent_729 / solvent_337,1 / 0,0 / 3.23
solvent_729 / ref_34,1 / 0,0 / 3.6
solvent_729 / solvent_527,1 / 0,0 / 4.17
solvent_729 / ref_103,1 / 0,0 / 3.98
solvent_729 / solvent_677,1 / 0,0 / 4.6
solvent_729 / ref_70,1 / 0,0 / 4.16
solvent_729 / ref_144,1 / 0,0 / 4.42
solvent_729 / ref_48,1 / 0,0 / 3.99
solvent_729 / solvent_666,1 / 0,0 / 5.02
solvent_729 / solvent_161,1 / 0,0 / 2.61
solvent_729 / solvent_560,1 / 0,0 / 1.86
solvent_731 / solvent_782,1 / 0,0 / 3.27
ref_54 / solvent_705,1 / 0,0 / 0.36
ref_54 / solvent_535,1 / 0,0 / 0.39
ref_54 / solvent_337,1 / 0,0 / 0.33
ref_54 / ref_34,1 / 0,0 / 0.3
ref_54 / solvent_527,1 / 0,0 / 0.39
ref_54 / ref_103,1 / 0,0 / 0.38
ref_54 / solvent_677,1 / 0,0 / 0.39
ref_54 / ref_70,1 / 0,0 / 0.44
ref_54 / ref_144,1 / 0,0 / 0.51
ref_54 / ref_48,1 / 0,0 / 0.35
ref_54 / solvent_666,1 / 0,0 / 0.39
ref_54 / solvent_262,1 / 0,0 / 0.03
ref_54 / solvent_782,1 / 0,0 / -0.03
ref_54 / solvent_90,1 / 0,0 / 0.22
ref_54 / solvent_194,1 / 0,0 / 0.17
ref_54 / solvent_560,1 / 0,0 / 0.03
ref_54 / solvent_446,1 / 0,0 / 2.75
ref_54 / solvent_449,1 / 0,0 / 0.28
ref_54 / solvent_54,1 / 0,0 / 0.22
ref_54 / solvent_222,1 / 0,0 / 0.74
ref_54 / solvent_595,1 / 0,0 / 0.35
ref_54 / solvent_726,1 / 0,0 / 0.03
ref_54 / ref_74,1 / 0,0 / 0.22
ref_54 / solvent_627,1 / 0,0 / -0.16
ref_54 / solvent_306,1 / 0,0 / -0.07
ref_54 / solvent_455,1 / 0,0 / 0
ref_54 / solvent_466,1 / 0,0 / 0.03
ref_54 / solvent_795,1 / 0,0 / 0.08
ref_54 / solvent_304,1 / 0,0 / 0.07
solvent_745 / solvent_535,1 / 0,0 / 1.81
solvent_745 / solvent_262,1 / 0,0 / 0.18
solvent_745 / solvent_705,1 / 0,0 / 1.7
solvent_745 / solvent_337,1 / 0,0 / 1.47
solvent_745 / ref_34,1 / 0,0 / 1.84
solvent_745 / solvent_527,1 / 0,0 / 1.94
solvent_745 / ref_103,1 / 0,0 / 2.01
solvent_745 / solvent_677,1 / 0,0 / 2.11
solvent_745 / ref_70,1 / 0,0 / 2.01
solvent_745 / ref_144,1 / 0,0 / 2.11
solvent_745 / ref_48,1 / 0,0 / 1.8
solvent_745 / solvent_666,1 / 0,0 / 2.22
solvent_745 / ref_32,1 / 0,0 / 2.05
solvent_745 / solvent_350,1 / 0,0 / 2.26
solvent_745 / ref_3,1 / 0,0 / 2.32
solvent_745 / solvent_782,1 / 0,0 / 0.35
solvent_745 / ref_125,1 / 0,0 / 0.43
solvent_745 / ref_54,1 / 0,0 / 0.44
solvent_745 / solvent_687,1 / 0,0 / 0.34
solvent_745 / solvent_454,1 / 0,0 / 0.36
solvent_745 / solvent_90,1 / 0,0 / 1.36
solvent_745 / ref_104,1 / 0,0 / 0.91
solvent_745 / solvent_80,1 / 0,0 / 1.27
solvent_745 / ref_122,1 / 0,0 / 0.44
solvent_745 / solvent_446,1 / 0,0 / -0.22
solvent_745 / solvent_647,1 / 0,0 / 0.14
solvent_745 / solvent_256,1 / 0,0 / 0.11
solvent_745 / solvent_296,1 / 0,0 / -0.07
solvent_745 / solvent_54,1 / 0,0 / -0.04
solvent_745 / solvent_222,1 / 0,0 / 0.17
solvent_745 / solvent_595,1 / 0,0 / -0.03
solvent_745 / solvent_73,1 / 0,0 / 0.43
solvent_745 / ref_36,1 / 0,0 / -0.07
solvent_745 / ref_55,1 / 0,0 / 0.3
solvent_745 / solvent_225,1 / 0,0 / 0.38
ref_155 / solvent_337,1 / 0,0 / 0.9
solvent_748 / solvent_705,1 / 0,0 / 1.44
solvent_748 / solvent_343,1 / 0,0 / 0.8
solvent_748 / solvent_535,1 / 0,0 / 1.71
solvent_748 / solvent_337,1 / 0,0 / 1.25
solvent_748 / solvent_527,1 / 0,0 / 1.58
solvent_748 / solvent_262,1 / 0,0 / 0.15
solvent_748 / ref_100,1 / 0,0 / 1.03
solvent_748 / solvent_560,1 / 0,0 / 0.89
solvent_748 / solvent_580,1 / 0,0 / -0.27
solvent_748 / solvent_449,1 / 0,0 / 0.4
solvent_748 / solvent_222,1 / 0,0 / 0.41
solvent_748 / solvent_726,1 / 0,0 / 0.26
solvent_748 / ref_74,1 / 0,0 / 0.52
solvent_748 / solvent_481,1 / 0,0 / -0.08
solvent_748 / solvent_319,1 / 0,0 / -0.76
solvent_748 / solvent_306,1 / 0,0 / 0.36
solvent_748 / solvent_455,1 / 0,0 / 0.24
solvent_748 / solvent_225,1 / 0,0 / 0.76
solvent_748 / solvent_601,1 / 0,0 / 0.22
solvent_748 / solvent_466,1 / 0,0 / 0.44
solvent_748 / solvent_795,1 / 0,0 / 0.19
ref_12 / solvent_527,1 / 0,0 / 0.77
ref_51 / solvent_705,1 / 0,0 / -0.48
ref_51 / solvent_343,1 / 0,0 / -0.73
ref_51 / solvent_558,1 / 0,0 / -0.46
ref_51 / solvent_535,1 / 0,0 / -0.44
ref_51 / solvent_337,1 / 0,0 / -0.65
ref_51 / ref_34,1 / 0,0 / -0.4
ref_51 / ref_157,1 / 0,0 / -0.45
ref_51 / ref_38,1 / 0,0 / -0.6
ref_51 / ref_1,1 / 0,0 / -0.45
ref_51 / ref_25,1 / 0,0 / -0.46
ref_51 / solvent_527,1 / 0,0 / -0.38
ref_51 / ref_126,1 / 0,0 / -0.36
ref_51 / ref_94,1 / 0,0 / -0.34
ref_51 / ref_103,1 / 0,0 / -0.33
ref_51 / ref_133,1 / 0,0 / -0.43
ref_51 / solvent_840,1 / 0,0 / -0.63
ref_51 / solvent_677,1 / 0,0 / -0.34
ref_51 / solvent_95,1 / 0,0 / -0.33
ref_51 / ref_48,1 / 0,0 / -0.58
ref_51 / solvent_666,1 / 0,0 / -0.29
ref_51 / solvent_262,1 / 0,0 / -0.35
ref_51 / solvent_782,1 / 0,0 / -0.34
ref_51 / ref_125,1 / 0,0 / -0.27
ref_51 / ref_54,1 / 0,0 / -0.29
ref_51 / solvent_687,1 / 0,0 / -0.27
ref_51 / solvent_454,1 / 0,0 / -0.25
ref_51 / solvent_90,1 / 0,0 / -0.48
ref_51 / ref_4,1 / 0,0 / -0.48
ref_51 / solvent_81,1 / 0,0 / -0.45
ref_51 / ref_104,1 / 0,0 / -0.65
ref_51 / solvent_80,1 / 0,0 / -0.4
ref_51 / solvent_88,1 / 0,0 / -0.34
ref_51 / solvent_580,1 / 0,0 / 3.66
ref_51 / solvent_446,1 / 0,0 / 3.26
ref_51 / solvent_92,1 / 0,0 / 3.04
ref_51 / solvent_167,1 / 0,0 / 2.83
ref_51 / solvent_62,1 / 0,0 / 3.03
ref_51 / solvent_159,1 / 0,0 / 2.88
ref_51 / solvent_583,1 / 0,0 / 0.83
ref_51 / solvent_449,1 / 0,0 / 0.67
ref_51 / solvent_296,1 / 0,0 / -0.26
ref_51 / solvent_376,1 / 0,0 / -0.27
ref_51 / solvent_222,1 / 0,0 / 1.28
ref_51 / solvent_595,1 / 0,0 / 0.94
ref_51 / solvent_306,1 / 0,0 / -0.33
ref_51 / solvent_225,1 / 0,0 / 2.84
ref_158 / solvent_535,1 / 0,0 / 5.68
ref_158 / solvent_262,1 / 0,0 / 2.15
solvent_757 / solvent_535,1 / 0,0 / 4.22
solvent_757 / solvent_262,1 / 0,0 / 0.88
solvent_757 / solvent_337,1 / 0,0 / 3.51
solvent_757 / ref_38,1 / 0,0 / 3.54
solvent_757 / solvent_527,1 / 0,0 / 4.37
solvent_757 / solvent_840,1 / 0,0 / 3.86
solvent_757 / solvent_95,1 / 0,0 / 4.36
solvent_757 / solvent_782,1 / 0,0 / 1.34
ref_56 / solvent_535,1 / 0,0 / 5.68
ref_56 / solvent_262,1 / 0,0 / 2.15
ref_98 / solvent_535,1 / 0,0 / 4.61
ref_98 / solvent_262,1 / 0,0 / 0.79
ref_53 / solvent_535,1 / 0,0 / 0.22
ref_53 / ref_25,1 / 0,0 / 0.18
ref_53 / solvent_677,1 / 0,0 / 0.36
solvent_306 / solvent_705,1 / 0,0 / 0.26
solvent_306 / solvent_343,1 / 0,0 / 0.05
solvent_306 / solvent_535,1 / 0,0 / 0.27
solvent_306 / solvent_337,1 / 0,0 / 0.07
solvent_306 / ref_34,1 / 0,0 / 0.31
solvent_306 / solvent_527,1 / 0,0 / 0.29
solvent_306 / ref_103,1 / 0,0 / 0.34
solvent_306 / ref_28,1 / 0,0 / 0.13
solvent_306 / solvent_677,1 / 0,0 / 0.25
solvent_306 / ref_114,1 / 0,0 / 0.15
solvent_306 / ref_70,1 / 0,0 / 0.28
solvent_306 / ref_144,1 / 0,0 / 0.32
solvent_306 / ref_48,1 / 0,0 / 0.19
solvent_306 / solvent_666,1 / 0,0 / 0.26
solvent_306 / ref_32,1 / 0,0 / 0.24
solvent_306 / ref_123,1 / 0,0 / 0.17
solvent_306 / solvent_262,1 / 0,0 / 0.06
solvent_306 / solvent_782,1 / 0,0 / 0.02
solvent_306 / solvent_560,1 / 0,0 / 0
solvent_306 / solvent_446,1 / 0,0 / 3.33
solvent_306 / solvent_92,1 / 0,0 / 3.16
solvent_306 / solvent_62,1 / 0,0 / 2.8
solvent_306 / solvent_127,1 / 0,0 / 2.67
solvent_306 / solvent_159,1 / 0,0 / 2.87
solvent_306 / solvent_760,1 / 0,0 / 2.75
solvent_306 / solvent_54,1 / 0,0 / 0.22
solvent_306 / solvent_222,1 / 0,0 / 1.14
solvent_306 / solvent_595,1 / 0,0 / 0.78
solvent_306 / solvent_334,1 / 0,0 / 1.06
solvent_306 / ref_124,1 / 0,0 / 0.53
